ID	Waveform	Period	Phase	Nadir	Mean	Std_Dev	MaxLoc	MinLoc	Max	Min	Max_Amp	FC	IQR_FC	Tau	P	BF	empP	GammaP	GammaBH
76	cosine	24.0	10.0	12.0	545.2555549367981	58.77214994221514	90.0	70.0	715.0790115130001	450.49062994	264.588381573	1.58733381782	1.15978977655	0.15499843486639364	0.1443173174082945	9.524942948947436	0.9660339660339661	0.9642775536163485	0.9789945677485025
77	cosine	24.0	18.0	20.0	1968.1388254053206	447.10422342073264	62.0	92.0	3294.67012203	1318.79215117	1975.87797086	2.4982482031799997	1.37236344479	0.5176317066525749	0.00019726614936780242	0.013019565858274958	0.005994005994005994	0.005994005994005994	0.045048701298701296
78	cosine	24.0	0.0	2.0	184.78460742962037	32.60216228325376	64.0	76.0	256.539940119	103.247654473	153.292285646	2.4847047754099996	1.1870762989599999	0.3425884971194647	0.00950420479882428	0.6272775167224026	0.24975024975024976	0.23023859562824234	0.5269110689152864
79	cosine	24.0	10.0	12.0	408.6479623230121	72.87245083143809	56.0	92.0	628.804151849	293.95740037400003	334.846751475	2.13909958058	1.29122634497	0.5046733774770609	0.0002751448432875263	0.01815955965697674	0.006993006993006993	0.006993006993006993	0.05046425011802969
80	cosine	24.0	14.0	2.0	1021.9662317592756	97.87262932326728	90.0	94.0	1216.95691577	795.2322656939999	421.724650077	1.5303163217500002	1.13283352937	0.36469098080459145	0.0062681023687887775	0.4136947563400593	0.17482517482517482	0.1680104679642694	0.4478521546135395
81	cosine	24.0	18.0	0.0	740.3660117980401	69.42238492445549	66.0	78.0	878.3885992180001	645.745562724	232.643036495	1.3602704376499999	1.14972396519	0.32785350799604684	0.012400444227444123	0.8184293190113122	0.3036963036963037	0.27993542796945775	0.582060000521829
82	cosine	24.0	14.0	0.0	102.04965448724572	12.013328278963803	62.0	94.0	128.75271588	84.95354546029999	43.79917042	1.5155661271399998	1.16451337376	0.4899383883536431	0.00039808110564987036	0.026273352972891448	0.01098901098901099	0.01098901098901099	0.07214098237720286
83	cosine	24.0	18.0	6.0	1812.3657804576324	323.6488102257357	90.0	78.0	3059.86761343	1437.44834188	1622.41927154	2.1286800535799997	1.20125403112	0.7059252914201162	6.732140936764528e-07	4.443213018264589e-05	4.443213018264589e-05	4.443213018264589e-05	0.002170578984625662
84	cosine	24.0	12.0	6.0	1858.451676361121	141.265302508687	64.0	56.0	2115.19579846	1644.8532147	470.34258376900004	1.28594805881	1.1381802326000001	0.3516695858110866	0.008030305253720312	0.5300001467455406	0.2127872127872128	0.20290729405453	0.499617763230154
85	cosine	24.0	16.0	8.0	2541.6365368468123	417.5357000867848	64.0	58.0	3277.12369987	1830.33926942	1446.78443045	1.7904460416799999	1.2676226499299998	0.517473878067269	0.000198076082640728	0.013073021454288049	0.005994005994005994	0.005994005994005994	0.045048701298701296
86	cosine	24.0	4.0	0.0	16.0525261521366	54.138504957930955	76.0	48.0	275.691209778	4.74157110792	270.94963867	58.1434304164	1.0	0.27369027575198657	0.030486737927881424	2.012124703240174	0.5134865134865135	0.5134001086333644	0.7098897123217265
87	cosine	24.0	22.0	16.0	3276.1598791085717	622.9752122402332	94.0	62.0	4536.18313276	2101.21765198	2434.96548077	2.15883543929	1.24643954338	0.5809451748040044	3.48717065965283e-05	0.002301532635370868	0.001998001998001998	0.001998001998001998	0.01981523631008167
88	cosine	24.0	22.0	14.0	4638.3536062641915	2176.1471616575136	70.0	76.0	11480.002424299999	2096.73729148	9383.26513282	5.475174439319999	1.8224667773299998	0.4559316561752946	0.0009002267306869742	0.0594149642253403	0.03496503496503497	0.03496503496503497	0.17710519533119776
89	cosine	24.0	20.0	14.0	10467.269778964275	773.7949433608818	94.0	52.0	12041.4825389	9387.68346149	2653.79907742	1.28268945031	1.1085569452200001	0.33090248035317943	0.011745195424871588	0.7751828980415247	0.2827172827172827	0.2691092234360693	0.5728476507730184
90	cosine	24.0	22.0	0.0	3112.257646366687	498.71901988711716	92.0	56.0	4791.53372581	2311.24426027	2480.28946554	2.07314034617	1.1319617495299998	0.3867934644897182	0.004048549572026775	0.26720427175376715	0.13486513486513488	0.11963836604109501	0.37690668860127585
91	cosine	24.0	2.0	8.0	2003.9021908486852	198.52128133325985	92.0	56.0	2393.24558721	1585.5647477	807.680839511	1.5093963149	1.16597448646	0.5000540745148393	0.0003092403561969335	0.020409863508997608	0.007992007992007992	0.007992007992007992	0.05665989339458727
92	cosine	24.0	0.0	2.0	5.280453641647702	0.17009314719595026	70.0	50.0	5.6565339218199995	4.74157110792	0.9149628139020001	1.19296616946	1.0166273611399999	0.2320760786938309	0.05605319139859437	3.699510632307229	0.7152847152847153	0.7152847152847153	0.8359106374118884
93	cosine	24.0	0.0	22.0	423.6765616573178	89.98465827174972	52.0	94.0	590.205236439	209.968244783	380.236991656	2.810926181	1.25723843014	0.27628104606408443	0.029283870410006917	1.9327354470604567	0.5124875124875125	0.5008702804720535	0.700365051202771
94	cosine	24.0	18.0	10.0	740.4824068147129	130.1774657335169	92.0	62.0	1129.90364698	561.400221814	568.503425164	2.01265265505	1.19611532418	0.4807736030270371	0.0004984798211842407	0.032899668198159884	0.014985014985014986	0.014985014985014986	0.09106054295558669
95	cosine	24.0	4.0	6.0	188.89738194970073	28.22171055980548	94.0	56.0	264.2811876	149.998165849	114.28302175200001	1.7618961278999998	1.1214544556200001	0.3204860134343379	0.014115833190008366	0.9316449905405522	0.3356643356643357	0.3072478875673133	0.6154170703199541
96	cosine	24.0	22.0	4.0	152.61136542773062	19.368103246088747	66.0	76.0	190.27488411	109.55933704200001	80.715547068	1.7367290570400002	1.1673433739899999	0.5615142081155471	6.0489268477871875e-05	0.003992291719539545	0.001998001998001998	0.001998001998001998	0.01981523631008167
97	cosine	24.0	18.0	20.0	1982.464479247653	201.7863136188469	66.0	76.0	2378.49226432	1635.3639503	743.1283140239999	1.45441157847	1.1970270008200001	0.13680266532960908	0.17449424180958856	11.516619959432845	0.988011988011988	0.9847978343899884	0.9898750497020454
98	cosine	24.0	2.0	6.0	432.6109636568771	78.54119993400596	72.0	58.0	612.0952766219999	302.176371895	309.918904727	2.0256225620299997	1.33886677736	0.3235644011566607	0.013375682598903569	0.8827950515276356	0.3126873126873127	0.295639214151328	0.6038499868946989
99	cosine	24.0	10.0	20.0	5.088989638365673	0.3143862156725691	82.0	64.0	6.110419090040001	4.75487601449	1.35554307555	1.2850848416299998	1.02058617945	0.419143141780694	0.0020558650145207705	0.13568709095837084	0.07492507492507493	0.06992412866726087	0.2751639877636137
100	cosine	24.0	10.0	16.0	4.7712345548158615	0.13716199142880392	58.0	48.0	5.42860873367	4.74157110792	0.687037625751	1.14489661973	1.0	0.3447430008361511	0.009134616325073048	0.6028846774548211	0.23576423576423577	0.22352767861768483	0.5209536244488943
101	cosine	24.0	16.0	8.0	6151.317104594302	603.6121712819437	64.0	56.0	7380.22529368	4775.73653165	2604.48876203	1.5453585525	1.1533644552200002	0.4367332729787589	0.0013954236360342212	0.0920979599782586	0.053946053946053944	0.05127041300307661	0.22817192968966082
