"","pVal","phase","peak.shape","period","qvalue"
"520",0.000427501782560786,10,18,26,0.00477778131609043
"521",0.774355093917678,22,16,24,1
"522",0.00629889927808843,2,8,22,0.0362346064267589
"523",2.30257795336066e-11,18,18,24,1.58111483285474e-08
"524",0.380799597647203,18,18,26,0.811982910174922
"525",0.897070646681984,4,6,20,1
"526",0.511247521874529,8,8,20,1
"527",0.053117881300574,24,20,28,0.184988087871061
"528",1.5678351260843e-06,8,14,24,6.34541944556966e-05
"529",0.625220656375118,20,8,20,1
"530",0.000403341158657463,2,10,22,0.0045772999366336
"531",1,20,10,20,1
"532",0.409678196017245,22,8,22,0.857688133687216
"533",0.932341858720318,18,6,20,1
"534",3.80449337674003e-06,20,16,26,0.00012894036360301
"535",0.301526412329575,20,14,24,0.68736589730107
"536",0.0680026524852374,8,8,20,0.223682580741815
"537",0.00276542933669371,12,12,24,0.0193533627782269
"538",9.03867208075878e-05,22,12,24,0.00147376314265931
"539",1.02161441253134e-14,22,12,24,6.38815492155848e-11
"540",0.39417344809826,22,16,24,0.83291816784711
"541",0.131534807591272,20,8,24,0.365631096629574
"542",0.00316123637437537,18,6,26,0.0215386924294285
"543",0.00235689676989805,18,14,20,0.0173409921894574
"544",0.170805057172427,2,16,26,0.444999032363804
"545",0.0591550167850295,6,18,24,0.200377204743656
"546",0.0608013010506625,10,8,20,0.204731599727627
"547",0.0526987574322229,22,12,28,0.184092363253458
"548",0.219821829000871,2,6,20,0.540202749751405
"549",0.0130705567290937,10,6,20,0.0639266259108509
"550",0.0357990409500442,12,14,22,0.137346491657792
"551",1,4,12,24,1
"552",0.314801455478071,18,10,20,0.709224824753874
"553",0.00367983187876708,26,20,28,0.0242246831365107
"554",0.00745779506323798,8,12,20,0.0412321773036491
"555",0.977952007213207,22,8,24,1
"556",0.195226946031672,10,10,20,0.492438117602278
"557",0.655624274361738,2,20,26,1
"558",0.0918382011277405,4,16,22,0.280265627941318
"559",0.000925685903067943,12,10,24,0.00852476281573468
"560",4.77812068534019e-09,10,10,26,7.66092016549544e-07
"561",0.90485202332806,12,10,24,1
"562",0.0128982131420493,6,18,28,0.0632320868500466
"563",0.0907037030914515,24,16,24,0.277480555494543
"564",1.84846136689852e-05,18,12,20,0.000433712154867408
"565",0.936079004055561,4,10,20,1
"566",0.213251871763853,4,12,24,0.527582177701038
"567",0.918147686699306,18,10,20,1
"568",0.00655737095952297,18,20,28,0.0373351315714097
"569",0.000540534247705484,12,8,22,0.00568914809870458
"570",0.0815685146202464,18,6,20,0.257270210832725
"571",0.209357045037887,18,20,26,0.52062422056946
